Name,Description,ID,Track,Priority,Status,Ready,Type,Owner,Hours,Flags,Depends On,Related,Parent
"Phase 1 - MVP DTC Funnel (Jun 1 - Aug 14, 2026)","Live consumer funnel for the 149 wellness assessment -> BHN consult -> primary-care handoff, PCI SAQ-A compliant. Go-live Aug 14. No PHI on the web tier; everything sits behind the signed-token redirect.",pbh-bws,Epic,P0,Open,Yes,Epic,Mark,,,,,
Funnel technical architecture + data-model plan,FIRST agentic dev task. Produce the technical spec: Next 16 App Router app structure; Drizzle schema for account/consent/payment/audit-log; the signed-token handoff seam contract; Stripe SAQ-A (PCI) boundary; env/secrets; GA4/HubSpot/Resend integration points. Output: architecture decision doc + schema draft. No PHI on web tier.,pbh-bws.1,Foundation,P0,Open,Yes,Feature,Mark,,agentic,,pbh-bws.6,pbh-bws
Monorepo scaffold + CI,"Next.js 16 App Router, TS, Tailwind 4, ESLint, test runner, Vercel project link, base CI.",pbh-bws.2,Foundation,P1,Open,No,Task,Mark,,agentic,pbh-bws.1,,pbh-bws
"Provision infra accounts (Neon BAA, Resend, Stripe)","Neon Postgres Scale tier + BAA, Resend, Stripe account provisioning. Activation task (invoice 1A).",pbh-bws.3,Foundation,P1,Open,Yes,Chore,Mark,,ops,,,pbh-bws
Drizzle schema + migrations baseline + DB connection,Implement the schema from F0; migration tooling; typed DB client; audit-log table.,pbh-bws.4,Foundation,P1,Open,No,Task,Mark,,agentic,"pbh-bws.2, pbh-bws.3",,pbh-bws
Env/secrets + Vercel linking + audit-log write scaffolding,"Secrets management, env per environment, audit-log write path skeleton on payment events.",pbh-bws.5,Foundation,P1,Open,No,Task,Mark,,agentic,"pbh-bws.2, pbh-bws.3",,pbh-bws
Discovery kickoff with David (founder),"Scope confirmation, RFP synthesis into a decision doc rather than re-interviewing.",pbh-bws.6,Discovery,P0,Open,Yes,Task,Matt,,,,,pbh-bws
Content/data inventory + analytics baseline,Inventory existing copy/data; capture GA baseline.,pbh-bws.7,Discovery,P2,Open,No,Task,Matt,,,pbh-bws.6,,pbh-bws
Signed-token handoff contract draft,Co-authored with PBH product team + HIPAA specialist. Defines the redirect/token seam to the wellness app. Highest-stakes interface.,pbh-bws.8,Discovery,P1,Open,No,Task,Mark,,seam,pbh-bws.6,,pbh-bws
Payment architecture spec (Stripe SAQ-A boundary),Define the cardholder-data boundary that keeps the funnel in SAQ-A scope. Feeds build + compliance docs.,pbh-bws.9,Discovery,P1,Open,No,Task,Mark,,,pbh-bws.6,,pbh-bws
Discovery decision doc delivered (gate -> invoice 1B),End-of-discovery sign-off package. Unlocks architecture lock + invoice 1B.,pbh-bws.10,Discovery,P1,Open,No,Task,Matt,,gate,"pbh-bws.7, pbh-bws.8, pbh-bws.9",,pbh-bws
Source + onboard HIPAA/PCI specialist,Subcontracted specialist; PBH approval rights on candidate. Sourcing Jun 1-15.,pbh-bws.11,Compliance,P0,Open,Yes,Chore,Mark,,ops,,,pbh-bws
"PCI SAQ-A artifacts (diagram, inventory, questionnaire, AoC)",Specialist authors SAQ-A artifacts. Boundary defined by payment implementation.,pbh-bws.12,Compliance,P1,Open,No,Task,Specialist,,,"pbh-bws.9, pbh-bws.11, pbh-bws.22",,pbh-bws
Neon BAA execution,Execute BAA with Neon for the DB tier.,pbh-bws.13,Compliance,P2,Open,No,Chore,Specialist,,,"pbh-bws.3, pbh-bws.11",,pbh-bws
Pre-launch compliance sign-off,Specialist architecture review + pre-launch sign-off. Gates go-live.,pbh-bws.14,Compliance,P1,Open,No,Task,Specialist,,gate,"pbh-bws.12, pbh-bws.13",,pbh-bws
Component-library extension from V1,Extend the SOW#1 component library for the funnel surfaces.,pbh-bws.15,Design,P1,Open,No,Task,Arian,4,,pbh-bws.6,,pbh-bws
Landing page design,Desktop + mobile in Figma.,pbh-bws.16,Design,P1,Open,No,Task,Arian,8,,pbh-bws.15,,pbh-bws
Signup / consent / payment surfaces - code-first (no Figma),"Built code-first via Claude Code - NO Figma mockup. Page surrounds + all error/loading/success states authored directly in code (Mark / Tuily). Arian's only design input: the Stripe Appearance API tokens (brand values JSON) + design QA against staging. Per the Figma-vs-Code matrix, Section 3.",pbh-bws.17,Build: Funnel,P1,Open,No,Task,Mark,,"agentic, code-first","pbh-bws.9, pbh-bws.15",,pbh-bws
Confirmation / handoff page - code-first (no Figma),Built code-first via Claude Code - NO Figma mockup. Receipt + next-steps + begin-assessment CTA + resume link + states authored in code (Mark / Tuily). Arian: design QA against staging only.,pbh-bws.18,Build: Funnel,P1,Open,No,Task,Mark,,"agentic, code-first","pbh-bws.8, pbh-bws.15",,pbh-bws
Design sign-off (gate -> invoice 2),Funnel design signed off + architecture spec locked. Unlocks build + invoice 2.,pbh-bws.19,Design,P1,Open,No,Task,Arian,,gate,"pbh-bws.16, pbh-bws.36, pbh-bws.37, pbh-bws.38",,pbh-bws
